clean_tweet,label
ወራዳ የሆነ ሰራ ሰርቶ የባጥ የቆጡን ከሚቀባጥሩ መጀመሪያ ለምን ሰርዓት አይኖራቸውም ነበር? ለምን ይርበተበታሉ መሰጅድ አቃጥከው ጎሸ እንዲባሉ ነበር የሚጠብቁት እረ ድንቁናቹንም በመጠኑ አድርጉት!,0
ኢትዮጵያ ለምትኖሩና በድጋፍ ለመተባበር ለምትፈልጉ - በዚህ የኢትዮጵያ ንግድ ባንክ አካውንት በቅርባችሁ ወደሚገኝ የባንክ ቅርንጫፍ በመሄድ ድጋፍ ማድረግ ትችላላችሁ…Thanks! 🙏 👇,1
እራሱ ትዊተርም የዚህ ሸፍጥ ተባባሪ ነው :),0
"My PM GOD Bless You ሁሌም እንጸልይልሃለን። አንተም ይህንን ፀሎት ፀልይ
1ኛ ነገስት 3: 3-13",1
isis 6 ህፃናትን በጥይት ደብድቦ ገደለ ሲባል ሰምቼ አላውቅም፡፡ የእነዚህ ጭካኔ ወደር የማይገኝለት ነው፡፡ ሰው ግን እንዴት ነው እንደዚ አውሬ የሆነው፡፡,0
: ምንሊክማ የቋንቋ ለዛቸውም ደስ ይል ነበር።,1
"ርሑስ ጋማ ፍጼ! ❤️💛🖤

የፍጼ ጋብቻ የፌዴራሊስት ኃይሎች መጭው ተስፋ ብሩህ እንደሆነ ያሳያል! 😆

መልካም ጋብቻ! 😋",1
"Agreed 100% bro!
የኢትዮጵያ ተስፋ እግዚአብሔር ብቻ ነው። None of the parties! 
እርሱ በዘላለማዊ ጥበቡ ኢትዮጵያን ከዉድ ልጆችዋ ጋር ያስታርቅልን።",1
የሚገርም ትዝታ,1
የ አማራ ምሁር ተብየዎች ለሆዳቸው ብቻ ነው የሚኖሩት,0
"ጥሩ ውሳኔ ነው። ብድሩ ሲያጨናንቃቸው አርፍው ይማራሉ። አሁን ምግብና መኖሪያ ስለማያሳስባቸው ለመገዳደል ግዜ አግኝተዋል። የሌሎች አፍሪካ ሀገራት ተማሪዎች ዩኒቨርቲ ለመማር ያለባቸውን መከራ ቢያዩ ጥሩ ነበር። 
Ethiopia ጥጋበኛ",1
"IfIWentToPrison 
ምሕረት የለም ምህረት የለም",0
"የዘር ዛር ሲይዝህ ህሊናህ ይሞታል።
የዘር ፖለቲካ ነጋዴዎች ኢዜማና ብልፅግና ሊዋሀዱ ነው የምትል ሀሰት እራሳቸው ፈብርከው እራሳቸው መልሰው ድሮም እንዲህ እንደሚሆን ገምተናል ይሉሃል።
ደነዝ ሁላ!",0
በአራት ውስጥ ላስቀምጥህ እና በጣም ጥሩ የሆነ ደስታን ልሰጥህ እፈልጋለሁ,1
ትንሽ ከልክ አለፍክ እዚህ ላይ አትፃፍ በቃ አንተ እራስህ ትልቅ ችግር አለብህ እንዲህ አይነት ድርቅ ያለ ጥላቻ አንተ ከነሱ ምትለይበት ምንም ነገር የለም እንደውም ያንተ ይብሳል በትንሽ ሰዎች ችግር አንድ ትልቅ ብሄርን እንዲ ብሎ መናገር ነውር ነው😡,0
እኔ ማን ነበርኩ የሚል ማንም አልነበረም ልጋልፈስያ ርገነ ኝሳወ ልህያ ቅለጥመለ ይህን አውሮፕላን በመገልበጥ ላይ ሁለታበልውደእ .ቡርቅያ ንሱነእ,0
እኔ ጓደኛዬ ነበር ስረድ ጉርደያኪስእ ልብምጭ አሁን የፍርሃት ጊዜ አይደለም ኝሩገን ኔባ ለስ,0
እንጀራ በህልሜ ብቻ እና ብቻ ነው የማየው  ሆድ ባሰኝ ሲበሎ ማየት በዩቱብ በፌስ ቡክ መንደር በቃ ብዙ አመታት አስቆጠርኩኝ እንጀራየ,0
ኢትዮጵያ በደከመች ጊዜ በግፍ የተወሰደባትን የባህር በር የጊዜ ጉዳይ ነው እንጂ ማስመለሷ አይቀርም ።ከቻይና እና ቦሊቪያ ብዙ ልንማር ይገባል ።,1
እንዴት ሠዉ ከዝንብ ማር ይጠብቃል አለቀ የተፈናቀሉት ተማሪዎች ወደ ትጥቅ ትግል መሄድ ነዉ ያለባቸዉ አለቀ አነሡ ፍትህ አትጠብቁ በአቡነ እስካለ ድረስ አማራ ሁል ጊዜ እንዳለቀሠ ይኖራል,0
አ/አበባ ውስጥ ምንም አይነት ስብሰባ ማድረግ አይፈቀድም:: ሌላው ቢቀር የሙዚቃ ኮንሰርት  አይቻልም:: ቢደረግ አንኳ የአ/አበባ ፖሊስ ወዲያው ልብሱን ቀይሮ ቄሮ ይሆንና ወይ ስብሰባውን ያውካል ወይ መብራት ያስጠፋል:: ይሄው ነው የህዝባችን ነፃነት::,0
ይኼንስ ታዝበህልናል? አዲስ የትራፊክ መብራት በተከሉ ቁጥር ገመድ ለመቅበር በ4ቱም አቅጣጫ ይቆፍሩና ሁሌም ሳይደፍኑ ይተዉታል መብራቱ ሲጀምር መኪኖች ባልተደፈኑት ጉድጓዶች የመቆም ያህል በቀስታማለፍ ይገደዳሉ ትርምሱ ተመልሶ እንደውምብሶበት ቁጭ!,0
:   በጥባጭና በሃሳብ ልዕልና የማያምን ወጠጤ ሰሜን ይሁን ደቡብ ምስራቅ ወይም ምዕራብ የዲሞክራሲ ጅምራችን ጠላት ነዉና መወገዝ አለበት!ኢትዮጵያዊነት ከጉልበት ውጭ ሌላ ምንም…,0
ኦዴፓ ብቻ ሊመልሰው የሚችለው ከሌሎች ጋር ሲዋሃድ የማይመለሰው የኦሮሞን ጥያቄ ለሚነግርኝ ውለታውን በታላቅ ምስጋና አቀርብ ነበር።,1
መልካም  ጅማሮ ነው :: እኛም  ከጎንህ  ነን,1
አሁን ነው ጊዜው; ሌሎቻችሁ የትግራይን ህዝብ ይዛችሁ ከሌላው ወገኑ ጋር ወደ ወደፊትዋ ኢትዮጵያ የማምጣትና ከሚገኘው የሰላምና የብልፅግና ትሩፋት የማቅዋደስ ሃላፊነታችሁን በብቃት የምትወጡበት::,1
ኖኖ... ፖለቲካ አይደለም ፖለቲከኞቹህ ናቸው ለዚህ ቀውስ የዳረጉን: ሲቀጥል ኤርትራን ማመናመን እሚባል ስርቅአት ቀርተዋል: እኛም ራሳችን አልቻልንም ወንድሜ! የእሱ ፖለቲካ አይደለም: ወረራ ነው: ኢትዮጵያ ኤርትራን ያጣችው: ፓርላማ ስለፈረሙ ነው!,0
የቆሸሸ ሟች ለመደበቅ እዚያ እንደቆሙ አውቃለሁ,0
አመሰግናለሁ ጆዬ😊 ወ/ሪት ኢትዮጵያ Loading....😁,1
"የአማራ ክልል መንግስት መግለጫ
ኢጅነር ስመኘው እራሱን አጥፍቶ ነው የሚለውን ቀልድ
ሙስሊሙ  መስጅዱን  ያቃጠለው ከሚለው ጋር አንድ ነው ።",0
ለ 86 ንፁሃን የህይወት መጥፋት ምክንያት የሆነው ግለሰብ በይፋ የኦፌኮ ፓርቲ አባል መሆኑ,0
"አሜን ይመጣል 
  ደስ የሚል ዝማሬ ነው ዘማሪ ጵኒኤል ጌታ ይባርክህ ተባረክ 
Doxa Arts studio በቆንጆና ለአይን በሚማርክ ቀረፃና ኤዲቲንግ መልዕክቱን አድርሶናል ተባረኩ 
   እናተም ስምታችሁ ተባረኩበት",1
"«አንቺኮ ቅኔ ነሽ»
ሲፈጥርሽ  ጀምሮ
ጠቢብ ሰው ካልሆነ ማንም የማይፈታሽ
 ለዚህ ነው እምዬ
ህመምሽ ሳይገባን የሚፈሰው እምባሽ።
         💚
         💛
         ❤

 ልብ አልባው ገጣሚ!",1
ተሰጥኦ ነው ብላ እንዳታፍ ብቻ,0
"የኦሮሞ ህዝብ ጥያቄ የፍትህ አይደለም እንዴ? የአማራስ የተለየነው እንዴ?

የእኩል ተጠቃሚነት አይደለም እንዴ?

የዲሞክራሲ ጥያቄ አይደለም እንዴ?

አኝዋኩም፣ሀመሩም ፣ሱርሚውም ተመሳሳይ ጥያቄ ነው ያለው።ይህ የሁሉም የኢትዮጵያ ህዝቦች ጥያቄ ነው።",0
"ለስንት ብርና ለየትኛው ጥቅም ይሆን ይች ብልህ እቅድ የተሰነዘረችው?
መቀለጃ ጦጣቸው አደረጉን እኮ😳🤯🤯😤",0
ምን አይነት ደነዝ ነው 👹,0
"የአፍሪካ ቀንድ ፣ ሰሜን ኢትዮጵያ የሚገኘው የISIS ቅርንጫፍ TPLF እየተባለ የሚጠራው የአጋንንቶች ጥርቅም ነው ይህን አሰቃቂ ፣ ኢ-ሰብዓዊ ድርጊት የፈፀመው ።
እግዚአብሔር የኢትዮጵያ አምላክ የእጃችሁን የሀሰን ሱልማኒን ቀን ይስጣችሁ ።",0
የህይወቴ የመጨረሻ ስኬት መልካምነት ነው።,1
ማለት ነው አሜን,0
የማንንም ፍልጥ ሰብስቦ አዲስ አበቤ እያለ ሰገጤ ያራዳ ልጆችን ሙድ ሊይዝባቸው ሲሞክር !?,0
[አሳዛኝ ታሪክ] ጉድ አደረገኝ ••• ከፌደራል ፖሊስነት ወደ እስራኤል ዳንሳ ቸርች ካዳሚነት,0
በኮሮናቫይረስ ሳይያዙ አይቀሩም ተብለው የተጠረጠሩት ኢትዮጵያውያን ከቫይረሱ ነጻ መሆናቸውን ተነገረ,1
"እኔም አሕመዲን ጀበል ነኝ!

በባህርዳር እየተካሔደ ባለው ሰልፍ ላይ።",1
ሁላችንም የእግዚብሔርን ክብር አንኳሰናል፡፡ እንዴት? ከእርሱ በላይ ሌሎች ነገሮችን በመምረጥ፡፡ ባለማመስገን፣ በእርሱ ባለመታመንና ባለመታዘዝ፡፡ በመሆኑም እግዚአብሔር ለዘላለም በክብሩ ደስተኞች እንዳንሆን በመከልከሉ ትክክል ነው፤ ‹‹እነር,0
"የቤኒሻንጉል ጉሙዝ ክልል ""ወደ መሃል ሀገር በሚወስዱ መንገዶች በሚፈፀሙ ጥቃቶች ዜጎች ከቦታ ቦታ የመንቀሳቀስ ሕገ-መንግሥታዊ መብት ተነፍገዋል፤ ሥጋት ውስጥ ወድቀዋል፤ በመንግሥት ላይ ያላቸውን እምነት ጥያቄ ውስጥ ለማስገባት ተገደዋል"" ብሏል",0
አሁንም ኢትዮጵያ ለትውልድ የሚተላለፍ ጎጅና የግብፅ ምርኮኛ የሚያደርግ ውል ከምትፈርም ውይይቱን አቋርጣ ብትወጣና ሉዓላዊነቷን የሚያስከብር ውሳኔ ብትወስን ነው የሚሻለው።,1
በትክክል። በዚህ አጋጣሚ ሰይፉ ምን ያህል የሰው ፍቅር እንዳለው እያየበት ነው።,1
ታከለ ዶማ መች ነው ሰው የሆነው ፐ ከባድ ሰው ተጠርቶ ተሞቷል 😂😂😂😂,0
ለእዳንተ አይነት ጠባብ መለጠፍ ውለታው ይቅር,0
"እንደሰንሰለት ተጠምጥመው የያዙንን ማህበረሰባዊ ጉራዎች [ Ego's ] ካላስወገድን በስተቀር ማህበረሰባዊ ለውጥን መፍጠር አንችልም !
ስልጣኔ ለራስ የሚሰጡትን ግምት ከማስተካከል ይጀምራል ❗",1
ቸር ያሠማን🙏 መልካም ሠንበት🙏,1
"የአገራችን ሙስሊሞች በራሳችን ምህዋር የራሳችንና አገራችንን በኛ እይታ በማጣቀስ ታሪክ ሊኖረን ይገባል።
ያኔ ""1500 አመታት የተዛባው ታሪክ""ና የኛው የ25አመት ታሪክ ለ""ኢትዮጲያ ታሪክ"" መዋጮ ይሆናል።",1
"“ለኃጣን የመጣ ለፃርቃን ይተርፋል”

በእያለንበት እንፀልይ ለሀገረ አውስትራልያ🙏
 አቤቱ ጌታ ሆይ ማረን ይቅር በለን ምህረቱን አውርድልን ስለእናትህ ብለህ ከጥፋት ታደገን።",1
ጅማ_ዩንቨርስቲ በወለጋ ና ገጂ ላይ የተከፈተውን መጠነ ስፊ በአየር የታገዘ ጭፍጨፋ በመቃዉም ስልፍ ወጥተዋል,1
ታህሳስ 22፣ 2012/ የጉራጌ ዞን አስተዳደር የጉራግኛ ቋንቋን በሥርዓተ ትምህርት ውስጥ ለማካተት እየሰራሁ ነው አለ,1
"“ለውጥ ማለት ያለውን አፍርሶ አዲስ መገንባት አይደለም፡፡ ኢትዮጵያ እንድታድግ ከተፈለገ ባላት ላይ የሚጨምር የተማረ የሰው ኃይል ያስፈልጋታል፡፡”

ያላረፉ ነፍሶች",1
"ፋሽን ነው!
ከከፍታ መውረድ ማለት ይህ ነው
   ልጅቷን የማትፈልገውን ድምፅ 
    እንድታወጣ አስገደዳት😊😊",0
ጠቅላይ ሚንስትሩ ከኦሮሚያ ክልላዊ መንግስት ርዕሰ-መስተዳድር ጋር ቦረና ዘልቀዋል... እንደተደረገላቸው ደማቅ አቀባበል ሁሉ ከህዝቡ ጋር በሚገባ ተገናኝተው እና ተወያይተው እንደሚመለሱ ተስፋ አደርጋለሁ። Ethiopia ብልፅግና Prosperity,1
: የመደመር ዓላማ ሀገራችን ባለፉት ዓመታት ያስመዘገበቻቸውን ድሎች ጠብቆና ስህተቶችን አርሞ የመጻኢውን ትውልድ ጥቅም ማረጋገጥ ነው ብለዋል። ክቡር አምባሳደሩ መድረኩ በጋራ ሀገራዊ ጉዳዮች ላይ…,1
በደቡብ አፍሪካ የሚኖሩ ኢትዮጵያውያንን ትኩረት አድርገው ከፕሬዝዳንት ሲሪል ራማፎሳ ጋር ተወያይተው ኢትዮጵያውያን ትኩረት እንዲያገኙ የሚያስችል ስምምነት ላይ መድረሳቸውን ጠ/ሚ/ር ዶ/ር ዐቢይ አህመድ ተናገሩ,1
ስንት አማራ ስንት ኦሮሞ ... እያሉ በሞታችን ሙድ ሊይዙብን ነው ዛሬም???,0
ሲሳይ አጌና ጠጅ ቤት ከተሄደ የሚገኘው ትርፍ ይህ ነው::,0
ያመሸሁበትን ቦታ እንኳን እመኝኝ ኤልያስ ስንቱን አጣርቶ ይችላል😭😭😭,0
እዉነተኛ የዐብይ ባህርይ እርካብ ና መንበር መፅሐፍ  ላይ ያለው ነው !!!,0
የሚሸማቀቁበትን የጭቆና  ታሪክ ሁሌ ፈጠራ ነው እንዳሉ ነው። የነሱ ተረት ግን እውነተኛ ታሪክ ነው የሄ የተለመደ ባህሪያቸው ነው ምን አዲሰ ነገር አለው!,1
እኔ በአባቴ እንዳለሁ እናንተም በእኔ እንዳላችሁ እኔም በእናንተ እንዳለሁ በዚያን ቀን ታውቃላችሁ። ትእዛዜ በእርሱ ዘንድ ያለው እርሱም የሚጠብቀኝ እርሱ የሚወደኝ እርሱ ነው ፤ አባቴም ይወደዋል እኔም እወደዋለሁ ራሴንም አሳየዋለሁ።,1
": ምነው በያስኳላው ይሞታል ወጣቱ
መማር ሁኖ ሳለ አብይ ፍላጎቱ
ምርቃት ነበረ የናት ያባት ፀጋ
ሙሾ ማውረድ ሆነ ጊዜው እያሰጋ
ይበጃል መፃፉ ጥበብን በቀለም
የተማረ በብዕሩ አያበጀው የለም
ያገሬ ወጣቶች…",0
የኢዜማው፡ቱልቱላ ብርሃኑ ነጋ  ኮ/ል ኣብይን እንደሚያማክር የምርጫ ቦርድ ሪፎርምም እንድሚያግዝ ሲናገር ሰምተናል። ኣማራ እስረኞችን ማስፈታት እንዴታ ኣቃታቹ? ወይስ የእርሶውም የኣዞ እምባ ነገር ነው!,0
"ጥር 22 ለሞጣ የሽብር ሰለባዎች የምናደርገው ድጋፍ የተዘረፉትንና የወደመባቸውን ሃብትና ንብረት ብቻ ሳይኾን ስነ–ልቦናቸውንም ጭምር የሚጠግን መኾን አለበት። 
MottaTerrorAttack
MottaFundraising",1
አሰፋ የትዝታው ፈለግ ጀግና,1
ይሄንን እኮ ነው መቻል ያቃተኝ ራስ ዳሽን ራሱ እንደናንተ ራሱን መች ይቆልላል በየሱስስስ ስም🤦😁,0
"""ያው በክልሉ ምክር ቤት እና በምርጫ ቦርድ በኩል አሻችዋለሁ ነው""??🤔🤔",0
"ለመላው የክርስትና እምነት ተከታዮች 
እንኳን ለ2012 ዓ.ም ለገና በዓል አደረሣችሁ።
በዓሉ የሰላም  የፍቅር የመቸቻል ከምንግዜውም በላይ አንድነታችንን የምናጠናክርበት ባዓል እንዲሆን መልካም ምኞቴ ነው።",1
እንደአንተ የሚያስብልኝ ቢኖር! ውይ የእኔ አሳቢ! አብሽር አልሞትም!,1
ከነሱ ያንተ አማራን የምትጨፈጭፈው ይብሳል : እነ ክርስትያንን እስር እያሰቃየህ ስለ ምኒልክ ያሳስብሃል? ወረኛ,0
የአማራ ክልል ፕሬዝዳንት በአፋር ክልል ከባድ ተቃውሞ ና ጥያቄ ቀረበባቸው ወደ አፋር ደውለናል ልዩ ዝግጅት ሼር ያድርጉ,0
ቀላል ተቸገርን?! ጉድ የሆነች አገር የጉዶች መአት ተሸክማ እኛንም ጉዳችንን አፈላች :),0
ሰላም ልበልሽ ሰላም ጽዮን ማርያም  ግሸን ማርያም ስሙት በማርያም  via,1
አለበለዚያ ሌላ አዲስ ወያኔ ተሰርቶ ከዘጠኙ ክልል ዘጠና ክልል ይሰራል ያኔ የባህር 🌊 ሲንድሮም ይለቃል 🤣🤣,0
Ethiopia: ጀግናው ታዬ ቦጋለ አሁን ያደረገው አስገራሚ ንግግር  via,1
ካፒታል ጋዜጣ በቀድሞው ሰራተኛው ጋዜጠኛ ተስፋዬ ጌትነት ክስ ተመሰረተበት፡፡,0
"ትክክለኛው የፊደል አፃፃፍ ከርስ ሳይሆን ከርሥ ሲሆን ሁለት ትርጉም አለው:-
1. ሆድ፣ ጨኳራ።
2. በያንዳንዱ ፊደል ጽፈት መካከል ያለ ባዶ ከርሥ ይባላል። ስለዚህ ፍሬ-ከርስኪ ፍሬ አልባ፣ ባዶ የሚለውን ትርጉም 'Ridiculous' ለሚለው እንጠቀማለን።",1
"‘’ዘመናዊና ፍትሃዊ የሆነ የንግድና የገበያ ስርዓት በመዘርጋት ህዝቡና ሀገራችንን ይበልጥ ተጠቃሚ ለማድረግ ሁሉም ባለድርሻ አካላት የጋራ ጥረት ማድረግ ይጠበቅባቸዋል’’
Ethiopia soybean greenmungbean nigerseed",1
Melas Zena ከቤተክርስታን የልመናን ልምድ ቀስሞ ነው፣ ቁጥር አንድ ለማኝ መሪ የነበረው።,0
አሜን ለሁላችን,1
"Nocomment
ግን እኛ ነን የደነዘዝ ነው ወይስ መንግስት ማለት ፒፒ ነው ሥራውን መስራት ያቃተው?",0
ትናንት በኬኒያ ላሙ ዳርቻ የጦር ሰፈር በተፈጸመው ጥቃት 3 አሜሪካዊያን ተገድለዋል,0
ምን አቃጠለህ ይልቅ ኢዜማ የተባለ አጎብዳጅ ፓርቲ ምን እየሰራ ነው ለካደው ለአዲስ አበባ ሕዝብ መቼም ምርጡኝ አይለም አደል,0
ልስቅ ነበር ግን ቁጭትና ብስጭት አላስቻለኝም። ሽንፍላ ትክክለኛ ቃል ነው,0
መውጣት ፈልጎ ነው 4ሳምንት ነው ማይመለሰው በህክምና ሚቆየው ልምምድ ምናምን 6 ሳምንት ድረስ ሊቆይ ይችላል እሄ ማለት ከኢንተርናሽናል ብራክ ጋር ሳይገባ ሊያሳልፍ ይችላል ያው እያለማመደ ነው ላለመመለስ !,0
አሜን ; ሰላም ብሩህ ሳምንት 🌻,1
": Share God's Word
ትንቢተ ኢሳይያስ 43
18፤ የፊተኛውን ነገር አታስተውሉ፥ የጥንቱንም ነገር አታስቡ።
19፤ እነሆ፥ አዲስ ነገርን አደርጋለህ፤ እርሱም አሁን ይበቅላል፥ እናንተም አታውቁትምን? በ…",1
የአማራ ባለስልጣናት በሃሳብ መሞአገት አቅቶት ተገዳደለ.ኦሮሞ ግን በሃሳብ እየተፋጬ ነው. እና የቱ ነው ስልጡን ህዝብ ወይስ ስልጡን መሪ ባሻዬ?  ማፈሪያ!,0
መንግስት ባለአደራውን ሲያዋክበው የከረመው ህገወጥ ናችሁ በማለት ነበር። አሁን ህጋዊ ፓርቲ እሆናለሁ ሲል ለምን የመሰብሰቢያ አዳራሽ ከለከለው ፤ ይህ የዲሞክራሲያዊ መብት አፈና በዚች ሀገር እስከመቸ ነው የሚቀጥለው??????,0
