cleaned_tweets,sentiment
ታቦተ ህጉ ለእግዚአብሄር በካህናታ ህፅርት ወበመንፈስቅዱስ ክልልት ንጉስኪ ፅዮን ኢይትመዋእ ለፀር ወኢየሀድጋ ለሀገር በካህናት የተከበብሽ በመንፈስ ቅዱስ የተከለልሽ የእግዚአብሄር ታቦተ ህግ ፅዮን ንጉስሽ ለጠላት አይሸነፍም ሀገርንም አይተዉም,neutral
asemahagnaseres እናማ ልሙጡ ባንዴራን ለቤተክርስትያኒቷ አስረክባቹ secular በመሆን በተሻለ መንገደ ሰለማዊና የተረጋጋ ክልል በመፍጠር ሰርታቹ አሳዩን ና ተዛ ለሚመጣ የውጭ ወራሪጠላት አብረን ንቆማለን,neutral
senaitbitew kasayerh kalkass melakabera wurye tweetofmicky zemenuya ሳያችሁ ግን ሶስተኛው የአለም ጦርነት ጉዳይን ከመጤፍም አልቆጠራችሁትም,neutral
ethiopialiveupd ebczena ብድር በምድር መሆኑ ከሆነ ተገቢ አይደለም ከዚህ በፊት ስንቃወም የነበረው ይህንንም አልነበር ታድያ ጉልቻ ቢቀየር ሆኗል ነገሩ ማለት ነዋ ወይ ሀገሬ ደጉን ያምጣልን እንጂ ምን እንላለን,neutral
ለውጡን ያለመው የኦሮሚያ ባለሀብቶች ውይይት,neutral
የሀገሩን ችግር የሚያውቅ መፍትሄ የሚያመጣ በትክክል የሀገሩ ሰው ይቺ ወጣት ለእንጀራ መጋገር የሚያስፈልገውን አብሲት በተለየና በቀለለ ዘዴ በማዘጋጀት ለእናቶቻችን ውለታ ውላለች ከሰይፉ በኢቢኤስ,positive
ማንም ምንም አያውቅምእና ማንም ሁሉን ያውቃልአይባልም,mixed
,neutral
ለመጥለቅ ያህል ወሳኝ ነገር ያስፈልጋል ልያታይ ጥስው ዶረበ ፅርቅ ድንአ ምንም ሳይነሱ ሉቃብጠይ ንዱንአ ንችታለሁከ ይአ,negative
heyab በጣም ስውር ህዝብም ጭምር የሰዉ ሂሉን እሺ ብሎ መቻል በጣም ሚገርመኝ,neutral
የሀይማኖት መሪዎች ለክርስትና እምነት ተከታዮች የእንኳን አደረሳችሁ መልእክት አስተላለፉ,positive
አዲሱ የአቶ ሬድዋን ሁሴን ሹመትመንታ መንገድ ላይ የቆመው የስልጤ ህዝብ ምርጫ እመለስባታለው ጠብቁኝ,neutral
,negative
ከአፋር ወጣቶች የተላለፈው አስቸኳይ መልእክት የአፋር ወጣቶች የአማራ ክልል ርእሰ መስተዳድር በክልሉ እያደረጉት ያለውን ጉብኝት ለመቃወም በሰመራ ሉሲ አደራሽ ልክ አአ ሰአት እንገናኝ እያሉ,mixed
መጀመሪያ ቃል ብቻ ነበረ ቃልም በቀለም ተቀናበረ ቃልና ቀለም በተግባር ኖረ መእራፉን ጨርሶ ቋጠረ,positive
የቤት ውስጥ ጥቃት – ያለሰሚ – ያለተመልካች,negative
ሪፖርት ፈረሰኞቹ ምአም አናብስትን በመርታት ወደ አሸናፊነት ተመልሰዋል,neutral
የህወሀት ማእከላዊ ኮሚቴ አባል አቶ ጌታቸው ረዳ ትላንት በድምፂ ወያነ ቴሌቪዥን ስለ ህወሀት ቀጣይ እጣ ፈንታ ተናግረዋል እየተባለ በማህበራዊ ሚዲያ የሚሰራጨው ዜና ሀሰተኛ,neutral
,neutral
rt mezmurbest ኤርትራውያን ስነ ጥበበኛታት ንናይ ጎደና ስነጥበብ ክንደፍአሉ ይግባእ ንዘሎና ሀብታም ታሪኽ ብቕርፃ ብቕብአን ስነ ፅሁፍን ክንትርሆ አሎና ነፍሲ ወከፍ ጎደና ታሪኽ ክንስንደሉ ዝኽእል እዩ…,positive
,neutral
abirhanu አይ ካሳዬ ስምንተኛ ክፍልን ዘልቋል ብለን የሾምነው መልሱ እኮ እዛው በቀይ ያሰመርከው ላይ አለ ከጊዜው ነባራዊ ሁኔታ ጋ ሊያራምዳቸው አለቀ,neutral
ሀገር አቀፍ ብሄራዊ የሴቶች የሰላም ምክር ቤት ተቋቋመ,positive
የ ሰአት የቴሌቭዥን መርሀግብሩ ተጀምሯልከዮድ አቢሲንያ የማብሰርያ ዝግጅት አለ,positive
awushwish zemenuya የነዚህን አይነት ወሬ አራጋቢ do you get me,negative
hussenmuhye ያንተ የበታችነት ስሜት ማንም አክራሪ ሰክሮ እየመጣ መስጂድህን ሲያቃጥልብህ ብንናገር መልሰህ እኛን ምን አገባቹ ትላለህያንተን አይነት አለቅላቂ ምስጋና ፈልገን አይደለም የምንታገለው አባቱ ማጎንበስም ትችላለህ,negative
የአባገዳ ልጅ ጠሚር ዶር አብይ አህመድ በጉጂ አባገዳ ተመርቀዉ ካላቻ አስረዋል ዶር እንኳን ደስ አለህ,neutral
samtassew የገዛ ጓደኞቻቸውን ከመግደል ወደኋላ የማይሉበት ስሜት ላይ ያሉት ይሄ ደሞ በየትኛውም የተማሪዎች ዘመን ታይቶ የማይታወቅ ግልብነትግልፍተኝነት ስለዚህ ያለው ጉዳይ እስኪጣራ እስኪረጋጋ አስተማማኝ ሰላም ማረጋገጥ እንደሚቻል,neutral
mintesinotf የሰኔ ቱን ፍንዳታ በተመለከተ ወዷሜሪካfbi የተላከውን የተጠርጣሪዎች አሻራ ውጤት ጤና ጥበቃ ሚንስቴር በነካ እጁ ቢገልፅልንግራ ቢገባኝ እኮ 🤔,neutral
በኤክሳይዝ ታክስ ሰበብ የታየው የዋጋ ንረት መነሻው የተዛባ የገበያ ስርአት ሲል መንግስት አስተባበለ,neutral
bilisumakegna seyoumteshome አብይ እራሱ ጀዋርን መጠቀሚያ አርጎታል ለዚህ ሁሉ ተጠያቂዉ አብይ ነዉ,negative
loveababa anbessaw jawarmohammed tseday ልክ ጋን ዉስጥ እንዳለች እንቁራሪት ነዉ በለኝ ትንሽዬ ብርሀን ስታይ ኖራ ከጋኑ ስትወጣ በቃ አልተቻለችም እንደጀዋር ሁሉ ኬኛ ብላ ቁጭ ደሞ አንላቀቅም ጀዋር የኛ መንፈስ የሚኒሊክ ነዉ እንዳንተ ያሉትን እንቁራሪቷች ልክ እናገባለን እመነኝ,neutral
jemilsani eskindernega ጥንብ ዘረኛ ጥፋ ከዚህ መርዝ,negative
,neutral
ethiopia ወያኔን ለመጣል ምን ድርሻ ነበራችሁ ከወደቀ በኋላ ጉራ ከመንዛት በቀር,negative
rt chapygi ኢትዮጵያ ውስጥ ያሉት መኪኖች ብዛት ሚልየን አይደርስም በሚገርም ሁኔታ ግን በአማካይ በአመት ከዎች በትራፊክ አደጋ ህይወታቸውን ያልፋል ©fact,neutral
,negative
ዶክተር ፓቭል የአንተን ስጦታ በመደገፍ ተቀባይነት አላገኙም ልጋልፈስያ ርገነ ኝሳወ ልህያ ቅለጥመለ ለእናንተ ርበነ ቅውአ ንትንዴ ይቬርሀ ንግ ርገነ,mixed
abiyahmedali ላይ የእነዛ ምስኪን ንፁሀን ምንዱባን ነፍሳት የተቀጠፈ ህይወት አይረሳም በአንድ ቀን ጀምበር ብቻ በዘመዳሞች ፉክክር በአብይ አህመድና የአይኤስ ወኪል በሆነዉ ግለሰብ የተፈጁትን የንፁሀን ኢትዮጵያውያን,negative
ሰለቸኝ ጌታን ሰው ወደ አውሬነት እየተለወጠ ደከመኝ ደከመኝ ጌታ ሆይ አረ ምን አይነት ዘመን ሰው ፔጅ ላይ ሄዶ ያንን ሰው ሙሉጭ አርጎ መስደብ ምን ይሉታል መሳደብ ይቀላል ወይስ ያንን ፔጅ አለማየት,neutral
zemenuya takeleuma ልክ ነህ ከምትላቸው ቃላት ያንተ ቅንነት ለመገመት ችያለሁ ቅንማ ባትሆን ኪራይ ሰብሳቢነኝ ስትል በኢትቪ ቀርፀው ዶክሞንተሪ የሚሰርቡህ,neutral
,positive
daveamicho drdantulu ሞቻለሁ ጌታ ሆይ ኧረ ና,negative
ተፎካካሪ ፓርቲዎች ተሰባስበው አንድ ቡድን አዋቅረው ፋና ዋልታ ኢቲቪ አጠቃላይ የህዝብ ሀብት የሆኑ ሚዲያዎች የባለቤትነት አጠቃቀም ላይ ጥርት ፅድት ያለ መስመር እንዲሰመር ከአሁኑ መታገል አለባቸው,neutral
abionebekele ኦሮሞ ምንም ቢማር ከብት ነዉ አያስተዉልም ጥንብ ዘረኛ ናቸዉ,negative
እየሱስ ክርስቶስ ከድንግል ማርያም የተወለደ በስጋ ከዳዊት ዘር የተወለደው ስለሰው ልጆች ኀጢአት እዳለመክፈል የምትሉ በዚህ ፔድ መወያየት እንችላለን,neutral
የጌታዬ እናት ንፂህተ ንፁሀን ቅድስተ ቅዱሳን ድንግል ማርያም ምንም አኔ ሀጢያተኛ ልጅሽ መሆን የማይገባኝን አስቢኝ ከሰራሁት ይልቅ የልጅሽ ቃልኪዳን ይበልጣልና አሳስቢልኝ ሰአሊለነ ቅድስት,neutral
አምላከ ቅዱስ ኡራኤል መልአክ ቀኑን የተበረከና የተቀደሰ ያድርግልን በሰላም ያሳደረን በሰላም ያውለን አገራችንን ኢትዮጵያን ዳሯን እሳት መሀሏን ገነት አድርጎ ይጠብቅልን አሜን,positive
birukzerihunal ጥሩ ጊዜበተለይ ቆመን ተንቦገቦገች ያልናት,positive
,neutral
abiyahmedali ምን ማለት ኦሮምኛ እስክንለምድ ድረስ ኦሮሚኛ የምትችሉ ተርጉሙልን እስቲ ፎቶው አንደኛ ፓ ሰላም ፍቅር ደስታ ፈገግታ በሁሉም ላይ ሰፍኗል ከነሱ ወደ አቢቹ ከአቢቹም ወደነሱ ይፈነጠቃል ደስ ሲል ነጌኒ በዳዳ መኖርደስይላል,neutral
መልካም እሴቶችን በማሳደግ ችግሮችን በሰላም ለመፍታት ሁሉም ዜጋ አብሮ መቆም አለበት የሀይማኖት አባቶች,positive
,neutral
,neutral
rt yaredalegesse ይታመሳል አሉ ከፋ ቦረና ሰላም አይደሉም ወይ እነራስ ጎበና የሚሰጡት ቢያጡ ከድፍን አበሻ ለኡራኤል ሰጡት የጎበናን ጋሻ ተብሎ የተዘፈነላቸው ስመጥሩ ጀግና ራስ ጎበና ይህን ይ…,neutral
የኢትዮጵያ መንግስት በግድቡ ዙሪያ በሚደረገው ድርድር ከፍተኛ ጥንቃቄ ሊያደርግ ይገባዋል ምክናያቱም አሜሪካ ለግብፅ የማታዳለበት ምክንያት የለም,mixed
abbasheger ኢትዮጵያ በደከመች ጊዜ በግፍ የተወሰደባትን የባህር በር የጊዜ ጉዳይ እንጂ ማስመለሷ አይቀርም ከቻይና ቦሊቪያ ብዙ ልንማር ይገባል,positive
dawitesfaye ምእራብ ወለጋ ግዛቱ ሆነ ሁለት አመት ድፍን ሁለት አመታት ሙሉ ኦነግ ነፃ መንግስት ሆኖ ልጆችን ለወታደርነት ሲመለምል ትምህርት ቤቶችን ጭምር የወታደር ካምፕ ሲያደርግ የሚናገር ጠፋ,neutral
madyyonas ቲሽ ጨለምተኛ ዱቄት ላይ ቆመሀል እንዴ ጊዜው ነጉዷል አሉባልታህን ቀቅለህ ብላው ልደቱ እየመጣ,negative
,neutral
abiyahmedali እረ እረፍት አርግ ይሄ ደግሞ የአንተ ስራ አይደለም,neutral
idreamethiopia getachewss betelhemdessie የኛ ቁልጭ መኩሪያ ነሽ እኮ,positive
hamezene kasayerh zemenuya ክፉ ተናግረውክፉ አናገሩኝ ይቅር በይኝ እነዚህ ሁለት አስኮንኞች እኮ ናቸው ከደሙ ንፁህ ነኝ,mixed
mebrahtusenait jawarmohammed ያንች ነፃነት በአማራ ህዝብ ወሬኛ,negative
ቅውቀት ዛሬ በሽ ነበርብሬ ከባድ ሚዛን በተግባር አየን አይጠገቤው ኢንተርቪው እውቀት ስገበይ ዋልኩ ብል ማጋነን አይሆንብኝም ቤሬን የሚመጥን ጋዜጠኛ ግን አገርቤት ያለ አይመስለኝም,neutral
የህዳሴ ግድብ የሶስትዮሽ ውይይት በካይሮ እየተካሄደ,neutral
ባየሽው የኔን መቼ ቀሎኛል በታመምሽው ልክ እኔም አሞኛል,neutral
በግሌ ኡስታዝ አቡበክር አህመድ የት ሆኖ ለ ምጠ ሚኒስትሩ ስልክ እንደደወለላቸው ጭምር ትዝ ይለኛል,neutral
,positive
liyanatefferi እማማ ዘርፌማ ጂም ከርመው የመጡት የስኳቲንግ ምናምኑ ውጤት,neutral
ethiopianews ይሄ ዜና ስብሰባው ከመደረጉ በፊት ማለት ትችሉ,neutral
በአማራ ክልል አሁን ሊሰሩ የሚባሉት መንገዶች ከ ጀምሮ ሲንጠባጠቡ ሲራዘሙ የቆዩ እንጂ ፍትሀዊነትን ለማስፈን እስካሁን በአማራ ክልል ምንም አይነት የመንገድ ፕሮጀክት አለመጀመሩ ሊታወቅ ይገባል የርመስተዳድር አማካሪ ግዛት አብዩ,neutral
eskindernega አስኬ መልካም ሰዉ መሆንህን ስራህ ይመሰክራል እንኮን አንተን ክርስቶስንም ወንጀለኛ ነዉ ብለዉታል ብቻ መልካም አድርግ ድሉ የእግዛቤር ነዉ እግዛቤር ሁል ጊዜ መልካም ሚያረገዉ ሰዉ ጋር ነዉ የሚሆነዉ አይዞህ ሁሉም እግርህ ስር ይወድቃሉ,mixed
kefiradechatu fairytale እኔም እሱን ብዬ,neutral
,positive
abiyahmedali ኢቲቪ እውነት መናገር ጀመረ ብልጋና ፓርቲ መጪወ ግዜ ከብልግና ፓርቲ ጨለማ ነዉ ኢቲቪ እውነት መናገር ጀመረ ብልጋና ፓርቲ መጪወ ግዜ ከብልግና ፓርቲ ጨለማ ነዉ ኢቲቪ እውነት መናገር ጀመረ ብልጋና ፓርቲ መጪወ ግዜ ከብልግና ፓርቲ ጨለማ ነዉ,mixed
የጎንደር ዩኒቨርሲቲ እንደሚለው ቅጣት የተጣለባቸው ግለሰቦች ኹከት እንዲስፋፋ ተማሪዎች ክፍል እንዳይገቡ መከልከል ትምህርት እንዳይጀመር ተማሪዎችን መምህራንን በማስፈራራት ስለት ነገሮችን ግቢ ውስጥ ይዘው በመገኘት ጥረት አድርገዋል,neutral
እወድሽ ነበረ ዛሬስ ጠላሁሽ ሰፌድ ቆሎ ያም ያም ዘገነሽ ወይ ጉድ,negative
natnaelmekonne takeleuma ታብሌት ኮምፒውተሮቹ በስጦታ የተገኙ ናቸው ወይስ በህዝቡ ገንዘብ የተገዙየከተማ አስተዳደሩ በጀት ይዞለት ነበርወይስ ወዘፈቀደ ከንቲባ አንተስ እየደገፍክ ወይስ ዜና እያሰራጨኽ,negative
,positive
abionebekele መልካም አርጋ የተጫወተችው,positive
,negative
ስንት ሰው በከንቱ አለመኖር ሰመኝ እድሜ ያንቺ ፍቅር ለሚያለመልመኝ ግን ደህና ነኝ ኑረዲን ኢሳ,mixed
ሁል ጊዜ በጌታ ደስ ይበላችሁ,positive
ethzema በአጠቃላይ ፖሊሲ አውጪዎችን ጨምሮ በኢትዮጲያ ያሉ ሙያን የሚፈልጉ የአገልግሎት ቦታዎች ላይ የሚገኙት ሰዎች በፖለቲካዊ አስፈላጊነታቸው ብቻና ብቻ ኢትዮጲያ ለባለሙያዎቿ በሯእንደተዘጋ የተማረ የሰው ሀይል እጥረት ይላል ደሞ,neutral
abiyahmedali ኢትዮጵያን በሰላም በወጣቶች ስራ አጥነት ምክንያት እጦት እየተሰቃየች መሪ ነኝ ባይ ግን ልማት ከማምጣት ይልቅ መዝናናት ድግስ በማድረግ የህዝብ በጀት በግብዣ እያለቀ ነወ በዘንድሮ በተ ወር ውስጥ ቢሊዮን ብር ለድግስ ወጪ ሆነ,neutral
dawitesfaye የወለጋ ጉዳይ “አለባብሰው ቢያራሱ” አይነት “በመንግስት” በኦነግ መካከል የተረገው ድርድር ግልፅ አልነበረም ሁለቱ አካላት መስማማት አልቻሉም ያህል የኦነግ ሰራዊት ካምፕ ገባ ቀሪው በያለበት ምሽጉን ይዞ ማሸበር ጀመረ,neutral
,negative
እንተዋወቃለን ወይ የሀበሻ ወንዶች ሀበሻ ሴቶችን ምን ያህል ያዉቃሉ,neutral
isuchisu ለዚህ ንግግርህ ሺህ ጊዜ አሜን ብል አይደክመኝም ለሁላችንም የምትመች ሁላችንንም እኩል የምታይ ሀገር በጋራ እንገነባለን,positive
ethiopia አሁን ላይ ከዳር ቆመን የምናይበት ጊዜ አይደለም ከዳር ቆሞ ማየት መብትን አሳልፎ መስጠት የኢዜማ መሪ ብርሀኑ ነጋ ፕሮፌሰር ዛሬ እሁድ በነጋ ቦንገር ሆቴል የተናገሩት ስብሰባው እንደቅጠለ,neutral
nafkotaschenaki ሴት ብሆን አይደለም ይሄን በሬ ወለደ ብልሽ ታምኚኝ ነበርእድሌ,negative
yaredadu ከበቂ መረጃ በላይ አለ ነገር ግን ለእንዳንተ አይነቱ ሰው አብይ እራሱ ወጥቶእኔ ነኝ የገደልኩት ቢል ከማጨብጨብ ውጪ ምንም አታደርግም ምክንያት እየፈጠርክ የሱን ንፁነት ትሰብካለ ለሟች ቤተሰብ ደርሶ ተቆርቋሪ አትምሰል 🤷‍♀️,neutral
colomentai nonnysavage እርግጠኛ መሆን እፈልጋለሁ እንደተለመደው ውሸት እየተናገሩ አይደለም,positive
የአዋሽ ባንክ የባለአክሲዮኖች ኛ መደበኛና ኛ ድንገተኛ ጠቅላላ ጉባኤ ላይ ወሳኝ የሚባሉ ውሳኔዎቸ ተላልፏል በዚህ መሰረት የባንኩ ካፒታል ከ ቢሊዮን ብር ወደ ቢሊዮን ብር ኢንድያድግ ተወስኗል የቦርድ አባላት ምርጫም ተካሄዷል,neutral
ብልፅግና ወደ ብልግና,neutral
,negative
የቆሸሸ ሟች ለመደበቅ እዚያ እንደቆሙ አውቃለሁ,negative
በምእራብ ኦሮሚያ በሚገኙ በሁለቱ የወለጋ ዞኖች ምስራቅ ወለጋና ሆሮ ጉዱሩ ወለጋ ዞኖች የኢንተርኔት የስልክ አገልግሎት መቋረጡን የአካባቢው ነዋሪዎች ተናገሩ via bbc news amharic,negative
,mixed
ጥር በኮሮና ቫይረስ ተጠርጥሮ ለተጨማሪ የላብራቶሪ ምርመራ ወደ ደቡብ አፍሪካ ተልኮ የነበረው የ ዜጎች ናሙና ከቫይረሱ ነፃ መሆኑን የጤና ሚኒስቴር ሚንስትር ዲኤታ liatadesse ተናገሩ shegerwerewoch ethiopia coronavirus ኮሮናቫይረስ,positive
ሽሮ ፍትፍት ለሚያስፈልገው ሁሉ,neutral
አቡነመርቆሪዎስ ከ አመት በኋላ ለመጀመሪያ ጊዜ ተናገሩ ለሀያ ስምንት አመታት አንዳችም ቃል ከአፋቸው ሳይወጣ የቆዩት አቡነ መርቆሪዎስ የገናን በአል ምክንያት በማድረግ ለመጀመሪያ ጊዜ እግዚያብሄርይባርካችሁ የሚል ቃል ተናግረዋል,neutral
atnafb እንዲህም ማለት ይቻላል ጔደኛየ አብርሀም ቢያይህ አንተን ተጨቁነህ ያልነበርከውን ጨቌኘህ ለካስ ጭቁን ነበርኩ ብለህ እንድታስብ ያደረገህ መሆኑን ያብራራልህ,neutral
የ ምርጫ የጊዜ ሰሌዳን አስመልክቶ በቦርዱ ሰብሳቢ ወሪት ብርትኳን ሚዴቅሳ የቀረበ ገለፃ የምርጫ ቀኑን የተወሰነው ህገመንግስቱን መሰረት ባደረገ መልኩ ህገመንግስታችን አንቀፅ ንኡስ አንቀፅ እንዳስቀመጠው,positive
አንዳንድ ሰዎች ስስ ብልት እየመረጡ የህዝቡን ትኩረት ለመሳብ የሚያደረጉት ሁኔታ መንግስት ትኩረት ሰጥቶ አደብ ማስገባት ካልቻለ አሳሳቢ,mixed
ሁሉንም ነገር ሰበብ እናደርጋለን ጎረቤቶች ውስጥ ምንም ውድ ሆነን ለመሸጥ ርካሽ ለመግዛት እንፈልጋለን ሳን ፍራንሲስኮ ዴ ሽያጭ,neutral
woldeyest አይይይ መሬት ያለው ሰው አለ ይላሉ አማራ አዲስአበባ ያለ መንግስት ከአስመራ ትእዛዝ እንደሚቀበል እስቲ ንገሩት ለዚህ ሰውየ ለክፋት ከሆነ እማ ሻእብያ ክናንተ ይብሳል በአንቀፅ ሀገራት የሚሰጥክ አርፈህ ተቀመጥ,neutral
zemenuya አጭበርብሮም ቢሆን ማሸነፍ አለበት,mixed
ሲጀመር ሌሎችሁን ሲሰድቡ እንጂ እንዲህ እይነት ማስተካከያ እናደርጋለን አላሉም ግን እሺ ይሁን ሶ what’s next for ህውሀት i mean the grounds have changed ብሄራዊ ፓርቲ ካላቋቋሙ በስተቀር በዘር ፖለቲካ ይቀጥላሉ ማለት,mixed
አንዳንድ ሰዎች ኢንሻላህ ኢራን አሜሪካን እንደምታሸንፍ አስረግጠው ሲበጠረቁ እያዬሁ ሀይማኖትና ጎሰኝነትኮ ሀቅን ለመድፈን ተወዳዳሪ የላቸውም,negative
